|              Line Name | v | J$_u$ | J$_l$ |          Frequency |     Fitted Velocity | Fitted Velocity error |       Fitted Width |  Fitted Width error | Fitted Amplitude K | Fitted Amplitude error K | Integrated Intensity | Integrated Intensity error |   EU_K | Flag |
| 23Na-37Clv=1-1 J=17-16 | 1 |    17 |    16 |         214.938711 |   4.772049633742648 |    0.3550302457130202 |  4.648071685560061 |  0.3552398315907727 | 18.654278113341828 |       1.2341011372158304 |   217.34076875967924 |          8.764565006411589 |  607.0 |   -d |
| 23Na-35Clv=2-2 J=17-16 | 2 |    17 |    16 |         217.980231 |   5.189772405262207 |   0.14090683199562626 |  5.530345757653742 | 0.14216317483041657 | 19.316572222597067 |      0.42670162280576024 |    267.7763889456831 |         3.6207437686161503 | 1128.4 |   -d |
| 23Na-37Clv=0-0 J=18-17 | 0 |    18 |    17 |         229.246046 |  4.7840060866736005 |     0.113486748768362 |  4.686987573254084 | 0.11358703524161909 | 21.402697830068732 |      0.44887438737404334 |   251.45035683533945 |         3.2150209721368497 |  104.6 |   -d |
| 23Na-35Clv=2-2 J=18-17 | 2 |    18 |    17 |         230.779167 |   5.638442923546513 |    0.1439689230100762 | 6.1428724691550505 | 0.14693890574217477 | 19.331637007517624 |       0.3929973389473299 |   297.66657130872625 |          3.727850785086837 | 1139.5 |   -d |
| 23Na-35Clv=1-1 J=18-17 | 1 |    18 |    17 | 232.50997700000002 |  5.3589516928697565 |   0.20681002508588467 |  6.608092402517191 | 0.21397404551122215 | 23.943307330775166 |       0.6505084565147888 |    396.5976910354607 |          6.687734055377408 |  625.7 |   -d |
| 23Na-37Clv=5-5 J=19-18 | 5 |    19 |    18 | 233.16920199999998 |   5.155678873630941 |    0.5088083808153481 | 3.9144197807905305 |   0.508813103625117 |  7.424267778318291 |       0.8357462865680084 |    72.84688055648492 |          4.997244998435367 | 2633.6 |   cd |
| 23Na-35Clv=2-2 J=26-25 | 2 |    26 |    25 |         333.007291 |  7.3656398159909475 |    0.3029413442907104 |  6.487433721512487 | 0.31959172396114083 | 21.655615583063828 |       0.8720856655733182 |   352.15462911655584 |          8.939129705747732 | 1250.2 |   -d |
| 23Na-37Clv=4-4 J=27-26 | 4 |    27 |    26 |         333.459061 |  5.5021241828888225 |    0.5089699343071852 |  4.803815161391213 |  0.5095358008960611 | 10.870721595033595 |       0.9976654026635051 |   130.89847774705234 |          7.324600974499198 | 2251.3 |   -d |
| 23Na-35Clv=1-1 J=26-25 | 1 |    26 |    25 |         335.506563 |   5.476270619658963 |   0.14014623476045263 |  4.661272042035559 | 0.14024601087485247 |  29.08721555132321 |         0.75747776704301 |    339.8572457489715 |          5.395168705441253 |  737.2 |   -d |
| 23Na-35Clv=2-2 J=27-26 | 2 |    27 |    26 |         345.762037 | 0.21654204013561615 |    0.8885334123973103 |  4.716780102809306 |  0.9096443155768023 | 11.539585416515575 |       1.8835196394581832 |   136.43499213099105 |         13.751849995230195 | 1266.8 |   cd |
