|              Line Name |                Species |           QNs | v | J$_u$ | J$_l$ |          Frequency |      Fitted Velocity | Fitted Velocity error |       Fitted Width |  Fitted Width error |     Fitted Amplitude | Fitted Amplitude error |  Fitted Amplitude K | Fitted Amplitude error K | Integrated Intensity | Integrated Intensity error |               Jy/K |               EU_K |  deg |                    Aij | Flag |
|   23Na-37Clv=4-4 J=7-6 |   23Na-37Clv=4-4 J=7-6 |   v=4-4 J=7-6 | 4 |     7 |     6 |  86.62108500000001 |  -2.1261753630019693 |    1.0952062207456077 |  8.123216695081508 |   1.247481616737413 |   1.6194904777468295 |    0.16836289215982755 |   13.02892326055845 |        1.354492188758018 |   265.29343253015634 |          19.62736560977706 |  8045.075559002593 |             2043.6 |  240 |  0.0003000000142492354 |   -d |
|   23Na-37Clv=4-4 J=8-7 |   23Na-37Clv=4-4 J=8-7 |   v=4-4 J=8-7 | 4 |     8 |     7 |          98.991272 |    4.555409164054883 |    1.0905279178821785 |  4.182983400755588 |  1.0905309105238523 |   0.9891057443449344 |    0.22331854929248782 |   8.228020633764942 |       1.8577079771162017 |    86.27231412393967 |         11.870040655530921 |  8318.646090984135 |             2048.4 |  272 | 0.00044999999227002263 |   -d |
| 23Na-37Clv=5-5 J=19-18 | 23Na-37Clv=5-5 J=19-18 | v=5-5 J=19-18 | 5 |    19 |    18 | 233.16920199999998 |    5.155678873630941 |    0.5088083808153481 | 3.9144197807905305 |   0.508813103625117 |    1.324734536465715 |    0.14912473561000755 |   7.424267778318291 |       0.8357462865680084 |    72.84688055648492 |          4.997244998435367 |  5604.343794135268 |             2633.6 |  624 |   0.006200000178068876 |   cd |
|   23Na-37Clv=5-5 J=7-6 |   23Na-37Clv=5-5 J=7-6 |   v=5-5 J=7-6 | 5 |     7 |     6 |          85.981669 |   5.2070494897307125 |    1.1636166543683406 |  4.894591895699373 |  1.1717653153875043 |    1.011778280920309 |    0.20850317345127858 |   8.139832718961637 |       1.6774237847073596 |    99.86697629162882 |         12.584992941576116 |  8045.075559002593 |             2538.2 |  240 |  0.0003000000142492354 |   -d |
|  39K-35Clv=0-0 J=13-12 |  39K-35Clv=0-0 J=13-12 | v=0-0 J=13-12 | 0 |    13 |    12 |  99.92953403690319 |    3.995132016036798 |    0.3210820045097425 |  4.777852562162062 |  0.3214636014284826 |   1.6367719098712337 |    0.09527904782513337 |  15.344815300863338 |       0.8932456514566017 |    183.7741164645687 |          6.522775076618418 |   9375.04804934643 | 33.573554459329365 |  432 |              0.0005982 |   -d |
|  39K-35Clv=0-0 J=28-27 |  39K-35Clv=0-0 J=28-27 | v=0-0 J=28-27 | 0 |    28 |    27 |  215.0082887324434 |    5.477343501715362 |    0.6115514928199763 |   4.32271760728733 |  0.6116271670074913 |   1.8747880673525565 |    0.22970542949647607 |  10.441396792109611 |       1.2793155538170142 |   113.13719296061748 |          8.447858420008764 |  5569.374466338595 | 149.70982801917683 |  912 |              0.0060872 |   -d |
|  39K-35Clv=0-0 J=30-29 |  39K-35Clv=0-0 J=30-29 | v=0-0 J=30-29 | 0 |    30 |    29 | 230.32064755273785 |    4.598048672498062 |   0.17000524125732178 |  4.756229395512332 | 0.17012119640632722 |    2.585686573859508 |    0.08005015105196177 |  14.358578475882776 |      0.44452656694976356 |   171.18439528656953 |          3.230621489392616 |  5553.100913716135 | 171.44855245642327 |  976 |              0.0074932 |   -d |
|  39K-35Clv=0-0 J=45-44 |  39K-35Clv=0-0 J=45-44 | v=0-0 J=45-44 | 0 |    45 |    44 |  344.8206090050549 |    2.450220948378107 |    1.0809006209165481 |  4.947322031784076 |  1.0885684585685167 |   1.3767924675172094 |     0.2607083616034356 |   9.680430870019839 |       1.8330789362098587 |   120.04796501443931 |         13.902848125139405 |  7031.147466601634 |  381.2426781196086 | 1456 |               0.025345 |   -d |
|  39K-35Clv=1-1 J=13-12 |  39K-35Clv=1-1 J=13-12 | v=1-1 J=13-12 | 1 |    13 |    12 |  99.31663489705458 |   3.9024341241222675 |    1.0095905960262794 |  3.630504960635038 |   1.009481950272935 |   0.9937205587573674 |     0.2393068937765622 |   8.266409641637546 |        1.990709356459955 |    75.22702577527714 |          11.03943482645748 |  8318.646090984135 |  432.6348728706095 |  432 |             0.00059402 |   -d |
|  39K-35Clv=1-1 J=44-43 |  39K-35Clv=1-1 J=44-43 | v=1-1 J=44-43 | 1 |    44 |    43 |  335.1339601389478 |   3.3215306940344544 |   0.27043203262423265 |  4.061538078551065 |  0.2704768036200489 |   1.9187678976845115 |    0.11064625682107515 |  14.077722017076066 |       0.8117955525714213 |    143.3219962899821 |          5.036832435524106 |  7336.855090219338 |  761.7198518705585 | 1424 |               0.023526 |   -d |
|  39K-35Clv=2-2 J=13-12 |  39K-35Clv=2-2 J=13-12 | v=2-2 J=13-12 | 2 |    13 |    12 |  98.70595377563426 |    1.961023634907887 |    0.7886469282919416 |  6.422024807688307 |  0.8165637465501878 |   1.7113556744294225 |     0.1823162136089955 |  14.236162191375834 |        1.516624057661499 |     229.168456818601 |         15.165687948429321 |  8318.646090984135 |  828.2887852320268 |  432 |             0.00058985 |   -d |
|  39K-35Clv=2-2 J=44-43 |  39K-35Clv=2-2 J=44-43 | v=2-2 J=44-43 | 2 |    44 |    43 |  333.0676994618479 |    3.894747956006778 |    0.4837512516703821 |  4.751876283492915 | 0.48435884396921935 |     1.82998459317572 |    0.16137391929216008 |  11.382382250165591 |        1.003735026754054 |    135.5776886064502 |          7.290008586426439 |  6219.933376823039 | 1155.3465513996475 | 1424 |               0.023361 |   -d |
|  39K-35Clv=3-3 J=13-12 |  39K-35Clv=3-3 J=13-12 | v=3-3 J=13-12 | 3 |    13 |    12 |  98.09752065188076 |    6.096806333495207 |    1.0719538265765818 | 5.0264617003760055 |   1.081231653100367 |   1.1097646504797223 |    0.20516355080544718 |   9.231739371625517 |       1.7066829699201582 |    116.3150326724865 |         13.161507869215226 |  8318.646090984135 | 1220.5635304267048 |  432 |              0.0005857 |   -d |
